titre,auteur,type,genre,annee,serie,volume,dispo
Le dernier restaurant avant la fin du monde,Adams Douglas ,Roman,SF,,,,1
Le guide du voyageur galactique,Adams Douglas ,Roman,SF,,,,1
L'amandière,Agnello Hornby Simonetta ,Roman,Polar,,,,0
Dès le printemps la cafétéria est ouverte dans le parc,Albertini Michel,Théâtre,,,,,1
Le meilleur des mondes,Aldous Huxley ,Roman,Classique,,,,1
Le meilleur des mondes,Aldous Huxley ,Roman,Classique,,,,1
La servante écarlate,Atwood Margaret,Roman,,,,,1
Algérie,Amnesty International,Doc,Histoire,,,,0
Fédération de Russie,Amnesty International,Doc,Histoire,,,,0
Le tombeur,Anderson Alston ,Roman,Fiction,,,,1
Le dernier chant des sirènes,Anderson Poul ,Roman,SF,,,,1
L'herbe bleue,Anonyme,Roman,Fiction,,,,1
La loi des mâles,Druon Maurice,Roman,,,,,1
Le joyau noir ,Moorcock M.,Roman,SF,,,,1
Antigone,Anouilh Jean,Théâtre,,,,,1
L'ampoule de cendres,Arnaud Georges-Jean,Roman,SF,,,,1
Le gnome halluciné,Arnaud Georges-Jean,Roman,SF,,,,1
On ne fait jamais vraiment ce que l'on veut,Arnothy Christine ,Roman,Fiction,,,,1
Pour la liberté de la presse,Arthus-Bertrand Yann ,Doc,Photo,,,,0
Face aux feux du soleil,Asimov Isaac ,Roman,SF,,,,1
Seconde fondation,Asimov Isaac ,Roman,SF,,,,1
Seconde fondation,Asimov Isaac ,Roman,SF,,,,1
L'instant où tout a basculé,Augier Sylvain ,Roman,Fiction,,,,1
Pensées pour moi-même et manuel d'Epictete,Aurele Marc ,Essai,Philosophie,,,,0
Orgueil et préjugés,Austen Jane ,Roman,,,,,1
Pride and Prejudice,Austen Jane ,Roman,Étranger,,,,0
Trilogie New-Yorkaise,Auster Paul ,Roman,Fiction,,,,1
Histoires de planètes,Auteurs multiples,Nouvelle,SF,,,,0
Les messagers des vents,Avit Clélie ,Roman,SF,,,,1
L'amour est enfant de salaud,Ayckbourn Alan,Théâtre,,,L'avant-scène,1144,1
A cut in the rates,Ayckbourn Alan ,Roman,Étranger,,,,0
Derrière chez Martin,Aymé Marcel,Roman,Classique,,,,1
La table-aux-crevés,Aymé Marcel,Roman,Classique,,,,1
De l'amirauté à Bikini,Ballande Henri ,Roman,Guerre,,,,0
La Duchesse de Langeais,Balzac,Roman,,,,,1
La peau de chagrin,Balzac,Roman,,,,,1
Le lys dans la vallée,Balzac,Roman,Classique,,,,1
L'usage des armes,Banks Iain ,Roman,SF,,,,1
Cités biotiques,Barbet Pierre ,Roman,SF,,,,1
Rédiger des testes techniques et scientifiques en français et en anglais,Barbottin Gérard ,Doc,Sciences,,,,0
Le feu,Barbusse,Roman,,,,,1
La jeune épouse,Baricco Alessandro ,Roman,Fiction,,,,1
La nuit des temps,Barjavel,Roman,Fiction,,,,1
The truth according to us,Barrows Annie ,Roman,Étranger,,,,0
Les carnets de Guerre de [...],Barthas Louis ,Roman,Guerre,,,,0
Critique et vérité,Barthes Roland,Essai,Philosophie,,,,0
Le scaphandre et le papillon,Bauby Jean-Dominique ,Roman,Fiction,,,,1
Les fleurs du mal,Beaudelaire Charles,Recueil de poèmes,,,,,1
Les cavernes de l'Id,Davis LP,Roman,SF,,,,1
L'Asie du Sud-Est l'Océanie et l'Antarctique,Beazley Mitchell ,Doc,Géographie,,,,0
La case de l'oncle Tom,Beecher-Stowe Harriet,Roman,Classique,,,,1
L'ideal,Beigbeder Frédéric ,Roman,,,,,0
Après la pluie,Belbel Sergi,Théâtre,,,,,1
Les lumières de l'aube,Belfer Lauren,Roman,Classique,,,,1
L'enfant de sable,Ben Jelloun Tahar,Roman,Classique,,,,1
un paysage du temps,Benford Grégory ,Roman,Fantastique,,,1,0
Marées de lumière,Benford Grégory ,Roman,SF,,,,1
Alberte,Benoit Pierre,Roman,Classique,,,,1
Le lac salé,Benoit Pierre,Roman,Classique,,,,1
Lunegarde,Benoit Pierre,Roman,Classique,,,,1
La mort en rouge,Benson Stephanie ,Roman,Polar,,,,0
les joyaux de la sorcière,Benzoni juliette ,Roman,Fantastique,,,,1
De l'écriture à la psychanalyse,Berger André ,Essai,Psycho,,,,0
La Cathédrale Notre Dame d'Amiens,Bernard Hervé,Doc,Histoire,,,,0
Les portes du futur,Bessiere Richard ,Roman,SF,,,,0
La maison des enfants,Boissard Janine ,Roman,Fiction,,,,1
Douze Légionnaires,Bonnecarrière Paul ,Roman,Guerre,,,,0
Le chemin des caracoles,Boulanger Daniel ,Roman,Fiction,,,,1
La planète des singes,Boulle Pierre ,Roman,SF,,,,1
La cote 512,Bourcy Thierry ,Roman,Guerre,,,,0
En attendant Bojangles,Bourdeaut Olivier ,Roman,Fiction,,,,1
Quotient intellectuel à vendre,Boyd John ,Roman,SF,,,,1
La leçon d'Amour dans un parc,Boylesve René ,Roman,Fiction,,,,1
